place,temp,,icon,tomorrow,,,,2day,2daytemp,,,3day,3daytemp,,,4day,4daytemp,,,5day,5daytemp,,,now,nowtemp,
Guelph,10,10,Cloudy,Thursday,10,10,5,Friday,2,11,0,Saturday,87,4,-1,Sunday,79,4,-2,Monday,79,4,-4,Now,65,7
Peterborough,10,12,"Light Rain",Thursday,12,10,8,Friday,87,12,2,Saturday,87,7,-1,Sunday,106,6,-2,Monday,79,5,-5,Now,10,2
Belleville,11,12,"Light Rain",Thursday,12,11,9,Friday,12,13,4,Saturday,106,7,1,Sunday,106,7,1,Monday,79,6,-4,Now,10,2
Montreal,8,69,"Mostly Cloudy",Thursday,69,8,6,Friday,12,11,4,Saturday,106,10,3,Sunday,87,7,2,Monday,106,5,0,Now,2,2
Québec,8,65,"Mostly Clear",Thursday,65,8,3,Friday,12,7,5,Saturday,106,10,3,Sunday,106,6,1,Monday,79,5,0,Now,65,0
Sherbrooke,8,2,"Partly Cloudy",Thursday,2,8,3,Friday,12,11,1,Saturday,12,12,2,Sunday,106,6,0,Monday,79,5,-1,Now,65,-2
Moncton,8,0,Sunny,Thursday,0,8,-5,Friday,69,7,4,Saturday,106,13,4,Sunday,106,8,1,Monday,106,9,1,Now,65,0
"Saint John",9,0,Sunny,Thursday,0,9,-1,Friday,106,10,7,Saturday,87,14,3,Sunday,106,8,3,Monday,12,11,1,Now,65,2
Fredericton,9,0,Sunny,Thursday,0,9,-3,Friday,106,8,6,Saturday,87,13,3,Sunday,106,7,0,Monday,12,8,0,Now,65,2
Bathurst,7,2,"Partly Cloudy",Thursday,2,7,-5,Friday,106,6,2,Saturday,87,11,1,Sunday,12,7,-1,Monday,106,7,1,Now,65,2
Charlottetown,6,2,"Partly Cloudy",Thursday,2,6,-2,Friday,2,7,3,Saturday,12,14,6,Sunday,106,9,3,Monday,106,10,4,Now,69,6
Summerside,6,2,"Partly Cloudy",Thursday,2,6,-1,Friday,69,6,4,Saturday,106,13,5,Sunday,106,9,3,Monday,106,10,4,Now,69,6
Halifax,7,65,"Mostly Clear",Thursday,65,7,-4,Friday,2,8,2,Saturday,12,14,5,Sunday,106,9,1,Monday,106,11,3,Now,65,3
Sydney,7,12,"Light Rain",Thursday,12,7,0,Friday,65,7,0,Saturday,12,15,7,Sunday,106,12,3,Monday,106,11,6,Now,65,4
Yarmouth,9,65,"Mostly Clear",Thursday,65,9,1,Friday,69,12,10,Saturday,106,14,6,Sunday,87,10,7,Monday,12,12,5,Now,65,7
"St. John’s",5,12,"Light Rain",Thursday,12,5,2,Friday,78,3,-2,Saturday,79,6,6,Sunday,12,13,4,Monday,87,7,4,Now,106,4
Gander,2,79,Rain/snow,Thursday,79,2,-1,Friday,79,1,-4,Saturday,79,7,6,Sunday,12,10,2,Monday,10,6,2,Now,10,1
"Corner Brook",4,79,Rain/snow,Thursday,79,4,0,Friday,79,1,-3,Saturday,79,10,5,Sunday,106,7,2,Monday,106,7,4,Now,65,0
"Goose Bay",0,79,Rain/snow,Thursday,79,0,-7,Friday,2,-2,-8,Saturday,16,-1,-4,Sunday,79,0,-6,Monday,79,1,-3,Now,79,-4
